,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
1006341,2017-02-14 08:02:35,2017-02-14 08:21:06,1111,Riverside Blvd & W 67 St,W 20 St & 11 Ave,Subscriber,Male,1980.0
1797033,2017-03-09 18:03:59,2017-03-09 18:38:02,2042,1 Ave & E 78 St,E 20 St & 2 Ave,Subscriber,Female,1956.0
5895265,2017-06-15 05:40:48,2017-06-15 05:44:14,206,W 46 St & 11 Ave,W 49 St & 8 Ave,Subscriber,Male,1985.0
6449884,2017-06-25 09:37:41,2017-06-25 10:05:29,1667,Cathedral Pkwy & Broadway,5 Ave & E 93 St,Customer,Male,1972.0
4170838,2017-05-12 18:40:27,2017-05-12 18:46:09,342,W 49 St & 8 Ave,Broadway & W 53 St,Subscriber,,
1237142,2017-02-21 13:55:56,2017-02-21 13:59:59,242,Nassau St & Navy St,York St & Jay St,Customer,,
149668,2017-01-09 18:54:37,2017-01-09 19:00:54,377,W 18 St & 6 Ave,E 19 St & 3 Ave,Subscriber,Female,1983.0
5083551,2017-05-31 22:49:01,2017-05-31 22:57:13,492,E 3 St & 1 Ave,Pike St & Monroe St,Subscriber,Male,1974.0
3733814,2017-05-03 20:39:25,2017-05-03 20:52:18,772,W 67 St & Broadway,W 47 St & 10 Ave,Subscriber,Male,1987.0
3007684,2017-04-18 17:16:48,2017-04-18 17:37:24,1235,5 Ave & E 103 St,1 Ave & E 78 St,Customer,,
5837209,2017-06-14 07:26:57,2017-06-14 07:36:52,595,W 20 St & 7 Ave,1 Ave & E 30 St,Subscriber,Female,1987.0
6815002,2017-06-30 22:40:38,2017-06-30 22:49:05,506,E 11 St & 1 Ave,Allen St & Rivington St,Subscriber,Male,1991.0
6261759,2017-06-21 20:20:58,2017-06-21 20:24:41,222,E 20 St & 2 Ave,E 25 St & 1 Ave,Subscriber,Male,1975.0
1400473,2017-02-25 14:14:53,2017-02-25 14:29:58,905,Kent Ave & N 7 St,Greenpoint Ave & Manhattan Ave,Subscriber,Female,1985.0
5704160,2017-06-11 18:57:22,2017-06-11 19:04:30,428,Pier 40 - Hudson River Park,MacDougal St & Prince St,Subscriber,Female,1987.0
1641678,2017-03-05 01:58:21,2017-03-05 02:15:44,1043,Pike St & E Broadway,E 31 St & 3 Ave,Subscriber,Male,1989.0
6059855,2017-06-18 11:37:12,2017-06-18 12:01:03,1430,E 4 St & 2 Ave,Atlantic Ave & Furman St,Subscriber,Male,1991.0
2388304,2017-04-05 08:09:45,2017-04-05 08:27:34,1068,Christopher St & Greenwich St,1 Ave & E 30 St,Subscriber,Female,1968.0
40930,2017-01-04 07:06:17,2017-01-04 07:10:42,264,Driggs Ave & N Henry St,Graham Ave & Conselyea St,Subscriber,Male,1985.0
6267200,2017-06-21 22:15:58,2017-06-21 22:19:57,238,E 2 St & Avenue C,Avenue D & E 8 St,Subscriber,Male,1968.0
429899,2017-01-20 08:45:53,2017-01-20 08:52:03,369,W 49 St & 8 Ave,6 Ave & W 33 St,Subscriber,Male,1984.0
1538901,2017-03-01 15:44:24,2017-03-01 15:48:33,248,E 4 St & 2 Ave,Forsyth St & Broome St,Subscriber,Male,1951.0
241619,2017-01-12 19:24:10,2017-01-12 19:42:49,1118,W 43 St & 6 Ave,Amsterdam Ave & W 82 St,Subscriber,Male,1963.0
3624964,2017-05-02 08:18:25,2017-05-02 08:24:27,361,E 19 St & 3 Ave,W 21 St & 6 Ave,Subscriber,Male,1988.0
5829927,2017-06-13 21:33:15,2017-06-13 21:58:09,1494,Perry St & Bleecker St,Broadway & W 56 St,Customer,,
791086,2017-02-02 19:09:15,2017-02-02 19:24:52,937,Lexington Ave & E 63 St,E 89 St & 3 Ave,Subscriber,Male,1982.0
6409702,2017-06-24 13:54:40,2017-06-24 14:02:02,442,Warren St & Court St,Smith St & 9 St,Subscriber,Female,1991.0
1087271,2017-02-16 18:20:42,2017-02-16 18:33:35,773,Sullivan St & Washington Sq,Avenue D & E 8 St,Subscriber,Male,1991.0
2289843,2017-04-02 15:16:34,2017-04-02 15:38:13,1299,Congress St & Clinton St,3 St & Prospect Park West,Subscriber,Female,1982.0
4954861,2017-05-29 13:20:48,2017-05-29 13:27:05,377,Duffield St & Willoughby St,Adelphi St & Myrtle Ave,Subscriber,Male,1979.0
3832544,2017-05-06 12:22:29,2017-05-06 13:05:45,2595,Bergen St & Smith St,Clinton St & Union St,Subscriber,Male,1978.0
5055331,2017-05-31 16:18:37,2017-05-31 16:24:57,379,Broadway & W 41 St,W 43 St & 10 Ave,Subscriber,Male,1967.0
603789,2017-01-27 09:10:14,2017-01-27 09:16:32,378,W 31 St & 7 Ave,W 18 St & 6 Ave,Subscriber,Male,1968.0
1985580,2017-03-22 16:47:32,2017-03-22 17:01:53,860,Union Ave & Wallabout St,Prospect Pl & 6 Ave,Subscriber,Male,1984.0
3716832,2017-05-03 17:20:04,2017-05-03 17:36:51,1006,Mott St & Prince St,N 6 St & Bedford Ave,Subscriber,Male,1987.0
1437288,2017-02-26 18:52:53,2017-02-26 18:56:30,217,W 20 St & 8 Ave,W 26 St & 8 Ave,Subscriber,Female,1978.0
5388025,2017-06-06 14:48:18,2017-06-06 14:57:52,574,E 24 St & Park Ave S,W 20 St & 11 Ave,Subscriber,Male,1986.0
1269579,2017-02-22 12:34:49,2017-02-22 12:43:15,506,Broadway & W 39 St,Pershing Square South,Subscriber,Male,1989.0
906396,2017-02-07 12:26:40,2017-02-07 12:28:58,137,E 3 St & 1 Ave,Great Jones St,Subscriber,Male,1994.0
2199318,2017-03-30 00:04:20,2017-03-30 00:12:07,466,Centre St & Worth St,Little West St & 1 Pl,Subscriber,Male,1982.0
2219003,2017-03-30 14:32:41,2017-03-30 14:48:40,959,E 59 St & Madison Ave,W 42 St & 8 Ave,Subscriber,Male,1959.0
5671997,2017-06-11 10:47:07,2017-06-11 10:51:34,266,W 18 St & 6 Ave,9 Ave & W 22 St,Subscriber,Male,1984.0
1436366,2017-02-26 18:15:59,2017-02-26 18:21:57,357,N 12 St & Bedford Ave,Nassau Ave & Russell St,Subscriber,Male,1977.0
6526628,2017-06-26 15:03:29,2017-06-26 15:23:26,1196,Kingston Ave & Herkimer St,Berkeley Pl & 7 Ave,Subscriber,Female,1982.0
4609704,2017-05-21 14:39:32,2017-05-21 15:04:06,1474,W 20 St & 8 Ave,Forsyth St & Broome St,Subscriber,Female,1986.0
705351,2017-01-31 08:02:26,2017-01-31 08:22:53,1227,West Thames St,W 18 St & 6 Ave,Subscriber,Male,1995.0
5302048,2017-06-04 16:18:29,2017-06-04 16:45:01,1592,Centre St & Worth St,Broadway & W 49 St,Subscriber,Male,1988.0
2236808,2017-03-30 21:02:13,2017-03-30 21:33:13,1859,E 72 St & Park Ave,9 Ave & W 28 St,Subscriber,Male,1942.0
5507337,2017-06-08 14:54:38,2017-06-08 15:01:37,418,E 80 St & 2 Ave,E 76 St & Park Ave,Subscriber,Male,1987.0
6525161,2017-06-26 14:32:49,2017-06-26 14:34:55,125,W 42 St & 8 Ave,W 42 St & Dyer Ave,Subscriber,Male,1977.0
2907057,2017-04-16 17:54:26,2017-04-16 18:18:43,1457,W 20 St & 11 Ave,Riverside Dr & W 72 St,Subscriber,Female,1990.0
6155265,2017-06-20 10:39:04,2017-06-20 10:55:46,1002,Little West St & 1 Pl,Little West St & 1 Pl,Subscriber,,
5310656,2017-06-04 19:56:29,2017-06-04 20:02:35,366,E 6 St & Avenue D,Allen St & Stanton St,Subscriber,Male,1972.0
182286,2017-01-11 08:49:04,2017-01-11 08:59:25,621,E 14 St & Avenue B,Canal St & Rutgers St,Subscriber,Male,1969.0
5068231,2017-05-31 18:24:06,2017-05-31 18:33:43,576,St Marks Pl & 2 Ave,Rivington St & Chrystie St,Subscriber,Female,1982.0
2344437,2017-04-03 18:34:55,2017-04-03 18:48:02,787,W 42 St & 8 Ave,E 58 St & 3 Ave,Subscriber,Male,1968.0
3418414,2017-04-28 12:00:48,2017-04-28 12:04:47,238,Fulton St & Adams St,Hicks St & Montague St,Subscriber,Male,1968.0
2167357,2017-03-29 09:40:41,2017-03-29 09:48:15,454,E 7 St & Avenue A,Great Jones St,Subscriber,Male,1983.0
338727,2017-01-17 07:09:25,2017-01-17 07:16:24,419,E 53 St & Madison Ave,W 43 St & 6 Ave,Subscriber,Male,1961.0
5388285,2017-06-06 14:56:38,2017-06-06 15:02:55,377,DeKalb Ave & Skillman St,Emerson Pl & Myrtle Ave,Subscriber,Male,1979.0
5156651,2017-06-02 07:29:57,2017-06-02 07:37:40,463,E 9 St & Avenue C,University Pl & E 8 St,Subscriber,Male,1954.0
2413647,2017-04-05 17:16:02,2017-04-05 17:39:35,1412,W 22 St & 10 Ave,W 84 St & Broadway,Subscriber,Female,1978.0
846613,2017-02-05 08:44:44,2017-02-05 08:53:31,527,Avenue D & E 3 St,Forsyth St & Broome St,Subscriber,Male,1951.0
3181519,2017-04-22 17:59:32,2017-04-22 18:29:09,1776,S 5 Pl & S 4 St,E 35 St & 3 Ave,Subscriber,Male,1991.0
440068,2017-01-20 14:25:54,2017-01-20 14:42:27,992,E 12 St & 3 Ave,E 6 St & Avenue B,Subscriber,Female,1986.0
5239801,2017-06-03 13:44:58,2017-06-03 14:02:26,1048,Willoughby St & Fleet St,Plaza St West & Flatbush Ave,Customer,,
100564,2017-01-05 21:43:09,2017-01-05 21:55:35,745,Grand St & Elizabeth St,Greenwich Ave & Charles St,Subscriber,Male,1983.0
5874160,2017-06-14 18:04:16,2017-06-14 18:39:42,2125,1 Ave & E 30 St,South St & Whitehall St,Subscriber,Male,1952.0
4306131,2017-05-16 13:34:51,2017-05-16 13:46:23,691,Broad St & Bridge St,Broadway & Battery Pl,Customer,,
2017766,2017-03-23 18:22:11,2017-03-23 18:25:20,189,W 20 St & 11 Ave,W 14 St & The High Line,Subscriber,Female,1994.0
454155,2017-01-21 10:35:07,2017-01-21 10:50:51,943,E 84 St & 1 Ave,E 55 St & 3 Ave,Subscriber,Male,1971.0
4604783,2017-05-21 13:42:00,2017-05-21 14:09:55,1674,W 47 St & 10 Ave,Carmine St & 6 Ave,Subscriber,Male,1992.0
1439286,2017-02-26 20:53:46,2017-02-26 21:01:03,436,W 33 St & 7 Ave,E 20 St & 2 Ave,Subscriber,Male,1987.0
5314936,2017-06-04 23:17:48,2017-06-04 23:23:12,323,Graham Ave & Conselyea St,Nassau Ave & Newell St,Subscriber,Male,1981.0
2634843,2017-04-11 12:23:20,2017-04-11 12:32:23,542,West St & Chambers St,Laight St & Hudson St,Customer,,
5194246,2017-06-02 16:52:39,2017-06-02 17:11:03,1104,Cherry St,1 Ave & E 18 St,Subscriber,Male,1900.0
6595925,2017-06-27 16:29:34,2017-06-27 16:42:40,786,Central Park S & 6 Ave,E 84 St & Park Ave,Subscriber,Female,1984.0
4816350,2017-05-26 11:34:20,2017-05-26 11:37:29,188,Broadway & E 22 St,Lexington Ave & E 24 St,Subscriber,Male,1993.0
3486606,2017-04-29 14:25:33,2017-04-29 14:30:53,320,W 37 St & 5 Ave,Broadway & W 29 St,Subscriber,Female,1982.0
773058,2017-02-02 10:11:37,2017-02-02 10:23:48,730,W 20 St & 11 Ave,W 56 St & 10 Ave,Subscriber,Male,1982.0
3138842,2017-04-21 16:31:17,2017-04-21 17:09:54,2317,Broadway & Battery Pl,5 Ave & E 103 St,Subscriber,Male,1964.0
686808,2017-01-30 14:56:25,2017-01-30 15:08:57,751,Liberty St & Broadway,Clinton St & Grand St,Subscriber,Male,1954.0
4257010,2017-05-15 17:05:47,2017-05-15 17:11:05,318,W 44 St & 5 Ave,W 43 St & 10 Ave,Subscriber,Male,1974.0
1892069,2017-03-18 14:21:31,2017-03-18 14:35:05,814,E 17 St & Broadway,E 20 St & 2 Ave,Subscriber,Male,1975.0
1863140,2017-03-13 10:17:37,2017-03-13 10:19:45,128,Liberty St & Broadway,Broadway & Battery Pl,Subscriber,Male,1979.0
3741423,2017-05-04 07:18:08,2017-05-04 07:36:55,1126,W 87 St  & Amsterdam Ave,9 Ave & W 45 St,Subscriber,Female,1989.0
2107294,2017-03-26 19:48:16,2017-03-26 19:50:07,110,1 Ave & E 18 St,E 20 St & FDR Drive,Subscriber,Female,1964.0
5274924,2017-06-03 23:42:23,2017-06-03 23:55:11,767,W 52 St & 9 Ave,Greenwich Ave & 8 Ave,Subscriber,Male,1964.0
6126042,2017-06-19 15:00:57,2017-06-19 15:25:00,1443,E 91 St & 2 Ave,Queens Plaza North & Crescent St,Subscriber,Male,1989.0
1499820,2017-02-28 15:44:42,2017-02-28 15:48:11,209,E 10 St & Avenue A,E 7 St & Avenue A,Subscriber,Male,1997.0
6623392,2017-06-27 22:14:42,2017-06-27 22:36:06,1284,E 88 St & 1 Ave,E 25 St & 1 Ave,Subscriber,Male,1997.0
3582676,2017-05-01 13:38:55,2017-05-01 13:44:50,354,Pershing Square North,E 32 St & Park Ave,Subscriber,Male,1951.0
4865755,2017-05-27 11:34:00,2017-05-27 11:35:26,85,Clinton St & Joralemon St,Schermerhorn St & Court St,Subscriber,Male,1975.0
4112091,2017-05-11 18:38:01,2017-05-11 18:48:02,600,Washington St & Gansevoort St,E 20 St & Park Ave,Subscriber,Male,1980.0
4043453,2017-05-10 17:00:47,2017-05-10 17:18:34,1067,Central Park S & 6 Ave,W 52 St & 11 Ave,Customer,,
5718891,2017-06-12 07:29:01,2017-06-12 07:37:17,495,E 25 St & 2 Ave,Pershing Square North,Subscriber,Male,1985.0
4122361,2017-05-11 22:11:37,2017-05-11 22:27:50,972,9 Ave & W 45 St,Christopher St & Greenwich St,Subscriber,Male,1991.0
5999992,2017-06-16 17:51:07,2017-06-16 18:15:58,1491,Vernon Blvd & 50 Ave,Lexington Ave & Classon Ave,Subscriber,Male,1974.0
1205143,2017-02-20 14:23:35,2017-02-20 14:38:48,913,12 Ave & W 40 St,Carmine St & 6 Ave,Subscriber,Male,1982.0
1334820,2017-02-23 23:03:25,2017-02-23 23:25:05,1299,Hudson St & Reade St,W 13 St & Hudson St,Customer,,
4099827,2017-05-11 16:28:33,2017-05-11 16:32:20,227,Broadway & W 32 St,W 24 St & 7 Ave,Subscriber,Male,1969.0
6711201,2017-06-29 10:19:59,2017-06-29 10:52:13,1934,11 Ave & W 41 St,6 Ave & W 33 St,Subscriber,Female,1953.0
2911194,2017-04-16 19:04:11,2017-04-16 19:19:49,938,E 103 St & Lexington Ave,3 Ave & E 72 St,Subscriber,Male,1991.0
1676988,2017-03-06 16:57:13,2017-03-06 17:14:09,1015,Reade St & Broadway,W 22 St & 10 Ave,Subscriber,Female,1981.0
6604202,2017-06-27 17:50:18,2017-06-27 17:57:20,421,8 Ave & W 33 St,11 Ave & W 41 St,Subscriber,Male,1981.0
5561459,2017-06-09 11:56:37,2017-06-09 12:05:03,506,Stagg St & Union Ave,N 11 St & Wythe Ave,Subscriber,Female,1992.0
6604146,2017-06-27 17:49:48,2017-06-27 18:00:17,628,W 37 St & 5 Ave,W 37 St & 10 Ave,Subscriber,Male,1981.0
800455,2017-02-03 08:10:33,2017-02-03 08:16:13,339,Lexington Ave & E 24 St,W 31 St & 7 Ave,Subscriber,Male,1989.0
1770752,2017-03-09 08:33:43,2017-03-09 08:38:07,264,Broadway & W 24 St,E 32 St & Park Ave,Subscriber,Male,1979.0
3329002,2017-04-26 17:14:06,2017-04-26 17:20:25,378,MacDougal St & Prince St,W 13 St & 6 Ave,Subscriber,Male,1955.0
3840803,2017-05-06 14:17:53,2017-05-06 14:50:18,1944,E 45 St & 3 Ave,Columbia St & Rivington St,Customer,,
5217282,2017-06-02 22:31:30,2017-06-02 22:42:26,656,Franklin St & W Broadway,Stanton St & Chrystie St,Subscriber,Male,1956.0
1378280,2017-02-24 20:07:07,2017-02-24 20:09:18,130,Cooper Square & E 7 St,E 12 St & 3 Ave,Subscriber,Female,1981.0
6674707,2017-06-28 18:20:37,2017-06-28 18:26:28,350,E 20 St & 2 Ave,E 7 St & Avenue A,Subscriber,Male,1980.0
191550,2017-01-11 14:30:33,2017-01-11 14:34:33,240,Lexington Ave & E 63 St,1 Ave & E 62 St,Subscriber,,
3339553,2017-04-26 19:31:27,2017-04-26 19:41:39,611,Broadway & W 32 St,E 11 St & 2 Ave,Subscriber,Female,1991.0
6580316,2017-06-27 11:24:31,2017-06-27 11:27:47,195,Lafayette St & Jersey St,Grand St & Elizabeth St,Subscriber,Male,1994.0
1953964,2017-03-21 17:13:40,2017-03-21 17:18:12,271,W 100 St & Manhattan Ave,Columbus Ave & W 95 St,Subscriber,Male,1952.0
698511,2017-01-30 19:57:59,2017-01-30 20:06:51,532,E 16 St & 5 Ave,E 25 St & 2 Ave,Subscriber,Female,1988.0
4110483,2017-05-11 18:22:42,2017-05-11 18:29:51,428,W 26 St & 10 Ave,W 25 St & 6 Ave,Subscriber,Male,1966.0
5167885,2017-06-02 09:38:26,2017-06-02 09:50:23,716,Grand St & Havemeyer St,Norfolk St & Broome St,Subscriber,Male,1988.0
4893398,2017-05-27 18:52:23,2017-05-27 19:29:34,2231,Greenwich Ave & Charles St,Greenwich Ave & Charles St,Subscriber,Male,1987.0
6671625,2017-06-28 17:56:40,2017-06-28 18:05:18,517,E 47 St & 2 Ave,W 37 St & 5 Ave,Subscriber,Male,1992.0
1852016,2017-03-12 18:02:19,2017-03-12 18:15:05,765,6 Ave & W 33 St,E 51 St & Lexington Ave,Subscriber,Male,1984.0
3614983,2017-05-01 21:30:33,2017-05-01 21:36:12,338,University Pl & E 8 St,W 4 St & 7 Ave S,Subscriber,Female,1990.0
777399,2017-02-02 13:23:06,2017-02-02 13:59:13,2166,Bialystoker Pl & Delancey St,W 56 St & 10 Ave,Subscriber,Female,1992.0
1303588,2017-02-23 09:35:06,2017-02-23 09:39:26,260,Bedford Ave & Nassau Ave,Nassau Ave & Russell St,Subscriber,Male,1982.0
1663951,2017-03-06 08:54:47,2017-03-06 09:01:18,390,E 58 St & 3 Ave,E 39 St & 2 Ave,Subscriber,Male,1982.0
6077023,2017-06-18 15:58:27,2017-06-18 16:10:03,695,Queens Plaza North & Crescent St,48 Ave & 5 St,Subscriber,Male,1975.0
6022357,2017-06-17 10:24:05,2017-06-17 10:37:08,783,Grand St & Elizabeth St,E 19 St & 3 Ave,Subscriber,Female,1962.0
5623075,2017-06-10 12:29:24,2017-06-10 12:49:43,1218,Vesey Pl & River Terrace,Henry St & Grand St,Subscriber,Male,1980.0
4597312,2017-05-21 12:09:16,2017-05-21 12:42:39,2003,S 4 St & Wythe Ave,Monroe St & Tompkins Ave,Subscriber,Male,1980.0
3829400,2017-05-06 11:32:43,2017-05-06 11:37:07,264,Allen St & Rivington St,St Marks Pl & 1 Ave,Subscriber,Male,1983.0
5881269,2017-06-14 19:09:29,2017-06-14 19:12:13,163,W 82 St & Central Park West,Amsterdam Ave & W 82 St,Subscriber,Male,1990.0
8753,2017-01-01 15:14:49,2017-01-01 15:47:21,1952,Greenwich St & W Houston St,Riverside Dr & W 104 St,Subscriber,Male,1986.0
2452954,2017-04-07 08:02:36,2017-04-07 08:04:43,127,W 49 St & 8 Ave,9 Ave & W 45 St,Subscriber,Male,1986.0
3440653,2017-04-28 17:31:51,2017-04-28 18:03:17,1886,St James Pl & Oliver St,E 78 St & 2 Ave,Subscriber,Male,1986.0
6536503,2017-06-26 17:27:50,2017-06-26 18:06:25,2314,W 52 St & 11 Ave,Pike St & Monroe St,Subscriber,Male,1990.0
4243737,2017-05-15 12:13:31,2017-05-15 12:22:34,543,Lexington Ave & E 24 St,E 11 St & Broadway,Subscriber,Male,1976.0
2999159,2017-04-18 14:49:26,2017-04-18 14:56:44,437,E 97 St & Madison Ave,E 84 St & Park Ave,Subscriber,Male,1986.0
4218387,2017-05-14 18:55:38,2017-05-14 19:02:01,382,Court St & State St,Clark St & Henry St,Subscriber,Female,1965.0
774060,2017-02-02 10:56:33,2017-02-02 11:11:55,922,Greenwich Ave & 8 Ave,University Pl & E 8 St,Subscriber,Male,1992.0
3427020,2017-04-28 14:37:52,2017-04-28 14:54:36,1003,Franklin St & W Broadway,Little West St & 1 Pl,Customer,,
4145087,2017-05-12 12:15:29,2017-05-12 12:24:49,560,6 Ave & Canal St,Vesey Pl & River Terrace,Subscriber,Male,1980.0
475511,2017-01-21 22:43:25,2017-01-21 22:47:49,263,W 43 St & 10 Ave,W 52 St & 9 Ave,Subscriber,Male,1976.0
2371897,2017-04-04 17:50:47,2017-04-04 17:54:20,212,Cliff St & Fulton St,Fulton St & Broadway,Subscriber,Female,1959.0
2815527,2017-04-14 17:48:11,2017-04-14 17:58:09,598,2 Ave & E 96 St,E 80 St & 2 Ave,Subscriber,Female,1985.0
3902723,2017-05-08 07:00:48,2017-05-08 07:13:55,786,E 20 St & FDR Drive,E 31 St & 3 Ave,Subscriber,Female,1960.0
3675277,2017-05-02 21:14:35,2017-05-02 21:21:08,392,E 4 St & 2 Ave,E 20 St & Park Ave,Subscriber,Male,1990.0
6603016,2017-06-27 17:41:00,2017-06-27 17:52:31,690,Vernon Blvd & 50 Ave,Kent Ave & N 7 St,Subscriber,Male,1983.0
5109033,2017-06-01 12:31:54,2017-06-01 12:42:36,641,6 Ave & Canal St,Broadway & Battery Pl,Subscriber,Male,1997.0
2682023,2017-04-12 08:51:21,2017-04-12 09:00:46,565,Greenwich Ave & 8 Ave,Broadway & E 22 St,Subscriber,Female,1986.0
568093,2017-01-26 08:17:47,2017-01-26 08:22:15,268,Canal St & Rutgers St,Division St & Bowery,Subscriber,Female,1963.0
1844222,2017-03-12 11:13:20,2017-03-12 11:25:57,756,Columbus Ave & W 72 St,1 Ave & E 62 St,Subscriber,Male,1977.0
1111137,2017-02-17 16:15:38,2017-02-17 16:24:15,516,W 37 St & 10 Ave,W 45 St & 6 Ave,Subscriber,Male,1985.0
402040,2017-01-19 12:51:13,2017-01-19 12:54:22,189,Division St & Bowery,Canal St & Rutgers St,Subscriber,Female,1974.0
4453107,2017-05-18 17:55:36,2017-05-18 18:00:14,278,Richardson St & N Henry St,Bushwick Ave & Powers St,Subscriber,Female,1991.0
3662155,2017-05-02 18:10:54,2017-05-02 18:16:06,311,Cooper Square & E 7 St,E 6 St & Avenue B,Subscriber,Male,1988.0
3758438,2017-05-04 11:47:33,2017-05-04 11:56:12,518,Wyckoff St & 3 Ave,Warren St & Court St,Subscriber,Male,1968.0
5354953,2017-06-05 18:04:00,2017-06-05 18:10:25,384,W 15 St & 7 Ave,University Pl & E 14 St,Subscriber,Male,1970.0
1370409,2017-02-24 17:48:07,2017-02-24 18:05:02,1014,Central Park West & W 85 St,Central Park S & 6 Ave,Subscriber,Female,1993.0
3104176,2017-04-20 18:22:40,2017-04-20 18:53:31,1850,York St & Jay St,Devoe St & Lorimer St,Subscriber,Male,1991.0
1727689,2017-03-08 09:01:41,2017-03-08 09:07:42,361,W 22 St & 8 Ave,E 16 St & 5 Ave,Subscriber,Female,1972.0
4797881,2017-05-25 19:26:39,2017-05-25 19:30:44,245,Central Park West & W 72 St,W 76 St & Columbus Ave,Subscriber,Male,1983.0
