,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
1548930,2017-06-15 09:57:02,2017-06-15 10:22:23,1521.335,M St & New Jersey Ave SE,14th & Rhode Island Ave NW,Subscriber
249238,2017-02-11 11:54:00,2017-02-11 12:21:00,1592.954,Barton St & 10th St N,C & O Canal & Wisconsin Ave NW,Customer
25626,2017-01-06 14:01:00,2017-01-06 14:12:00,672.465,19th & K St NW,18th St & Wyoming Ave NW,Subscriber
1728064,2017-06-29 05:51:17,2017-06-29 05:55:35,258.026,New Hampshire Ave & T St NW,12th & U St NW,Subscriber
167000,2017-01-30 22:49:00,2017-01-30 23:09:00,1151.319,20th & O St NW / Dupont South,9th & Upshur St NW,Subscriber
750435,2017-04-10 02:34:45,2017-04-10 03:36:36,3711.867,Henry Bacon Dr & Lincoln Memorial Circle NW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
653353,2017-04-01 09:08:33,2017-04-01 09:11:37,184.78400000000002,Franklin & S Washington St,Franklin & S Washington St,Subscriber
1371506,2017-06-02 06:05:04,2017-06-02 06:28:16,1392.7120000000002,8th & O St NW,Kennedy Center,Subscriber
411736,2017-03-02 08:28:00,2017-03-02 08:47:00,1152.396,12th & Newton St NE,1st & H St NW,Subscriber
32366,2017-01-09 06:49:00,2017-01-09 06:57:00,470.004,8th & East Capitol St NE,3rd & Tingey St SE,Subscriber
264348,2017-02-13 18:48:00,2017-02-13 18:57:00,536.763,Calvert St & Woodley Pl NW,17th & Corcoran St NW,Subscriber
70804,2017-01-15 13:37:00,2017-01-15 13:40:00,180.81400000000002,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW,Customer
223775,2017-02-07 18:39:00,2017-02-07 19:02:00,1336.32,17th St & Massachusetts Ave NW,Rhode Island Ave & V St NE,Subscriber
1029553,2017-05-02 06:38:05,2017-05-02 06:49:02,656.669,New Jersey Ave & N St NW/Dunbar HS,2nd & G St NE,Subscriber
326627,2017-02-20 19:41:00,2017-02-20 19:51:00,623.6659999999999,3rd & Tingey St SE,1st & H St NW,Subscriber
1364642,2017-06-01 10:45:22,2017-06-01 11:09:27,1444.355,20th & O St NW / Dupont South,3rd St & Pennsylvania Ave SE,Customer
1402498,2017-06-04 09:14:52,2017-06-04 09:26:07,675.0169999999999,20th St & Florida Ave NW,C & O Canal & Wisconsin Ave NW,Subscriber
756870,2017-04-10 07:16:00,2017-04-10 07:32:02,961.9960000000001,Eisenhower Ave & Mill Race Ln,Braddock Rd Metro,Subscriber
1716255,2017-06-28 07:12:51,2017-06-28 07:21:42,530.764,18th St & Wyoming Ave NW,14th & Rhode Island Ave NW,Subscriber
1214345,2017-05-19 08:40:41,2017-05-19 08:50:50,608.609,New Hampshire Ave & T St NW,New Hampshire Ave & T St NW,Subscriber
220496,2017-02-07 15:17:00,2017-02-07 15:24:00,406.963,11th & M St NW,11th & S St NW,Customer
924235,2017-04-23 04:49:56,2017-04-23 05:04:42,886.796,M St & Pennsylvania Ave NW,California St & Florida Ave NW,Subscriber
95199,2017-01-19 15:32:00,2017-01-19 15:40:00,492.298,17th & K St NW,8th & O St NW,Subscriber
524177,2017-03-19 11:21:00,2017-03-19 11:33:00,717.648,14th St & Spring Rd NW,16th & Harvard St NW,Subscriber
716883,2017-04-07 06:07:32,2017-04-07 06:17:32,599.441,1st & D St SE,8th & Eye St SE / Barracks Row,Subscriber
1384627,2017-06-03 04:41:17,2017-06-03 05:03:50,1353.02,California St & Florida Ave NW,14th & G St NW,Customer
234932,2017-02-08 19:12:00,2017-02-08 19:24:00,680.7710000000001,Lincoln Memorial,17th St & Independence Ave SW,Subscriber
580125,2017-03-25 12:58:00,2017-03-25 13:09:00,640.401,12th & U St NW,18th & R St NW,Subscriber
585646,2017-03-25 16:29:00,2017-03-25 17:24:00,3307.929,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW,Customer
1183277,2017-05-17 05:32:02,2017-05-17 05:37:30,327.629,14th & V St NW,7th & R St NW / Shaw Library,Subscriber
274048,2017-02-15 08:01:00,2017-02-15 08:07:00,370.098,20th St & Florida Ave NW,21st & M St NW,Subscriber
413593,2017-03-02 13:05:00,2017-03-02 13:13:00,508.17800000000005,18th St & Pennsylvania Ave NW,15th & P St NW,Subscriber
1719641,2017-06-28 08:42:19,2017-06-28 09:08:37,1578.2839999999999,Columbus Circle / Union Station,D St & Maryland Ave NE,Subscriber
1484020,2017-06-10 10:45:17,2017-06-10 11:22:58,2261.4210000000003,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
144940,2017-01-27 08:06:00,2017-01-27 08:12:00,399.426,New Hampshire Ave & T St NW,18th & M St NW,Subscriber
883290,2017-04-19 06:43:17,2017-04-19 07:05:41,1343.545,17th St & Independence Ave SW,Good Hope Rd & 14th St SE,Subscriber
27430,2017-01-06 18:17:00,2017-01-06 18:30:00,818.137,C & O Canal & Wisconsin Ave NW,14th & L St NW,Subscriber
260950,2017-02-13 09:23:00,2017-02-13 09:28:00,336.793,20th St & Florida Ave NW,17th St & Massachusetts Ave NW,Subscriber
912246,2017-04-21 09:16:26,2017-04-21 09:45:20,1733.181,4th & C St SW,Independence Ave & L'Enfant Plaza SW/DOE,Customer
578611,2017-03-25 11:58:00,2017-03-25 12:49:00,3060.552,S Arlington Mill Dr & Campbell Ave,Lincoln Memorial,Customer
808440,2017-04-14 01:26:58,2017-04-14 02:22:20,3322.074,Potomac & M St NW,Henry Bacon Dr & Lincoln Memorial Circle NW,Customer
327266,2017-02-20 22:51:00,2017-02-20 22:56:00,326.994,New Hampshire Ave & 24th St NW,17th & K St NW,Subscriber
11977,2017-01-04 11:23:00,2017-01-04 11:32:00,532.863,Connecticut Ave & Newark St NW / Cleveland Park,Columbia Rd & Belmont St NW,Subscriber
1240699,2017-05-21 10:15:27,2017-05-21 10:20:41,313.908,5th & K St NW,Convention Center / 7th & M St NW,Subscriber
1374214,2017-06-02 07:46:49,2017-06-02 07:48:43,113.535,14th & Belmont St NW,14th & Belmont St NW,Subscriber
622947,2017-03-29 10:32:00,2017-03-29 10:40:00,477.332,Ballston Metro / N Stuart & 9th St N,Pershing & N George Mason Dr,Subscriber
332668,2017-02-21 17:06:00,2017-02-21 17:11:00,346.37300000000005,14th & V St NW,17th & Corcoran St NW,Subscriber
1530141,2017-06-14 06:58:40,2017-06-14 07:04:22,342.001,Metro Center / 12th & G St NW,5th St & Massachusetts Ave NW,Subscriber
1453190,2017-06-08 08:11:01,2017-06-08 08:31:50,1248.5439999999999,20th & E St NW,Washington & Independence Ave SW/HHS,Subscriber
1015811,2017-05-01 05:22:24,2017-05-01 05:40:33,1088.945,37th & O St NW / Georgetown University,Court House Metro / 15th & N Uhle St ,Subscriber
1622509,2017-06-21 09:18:34,2017-06-21 09:36:14,1060.864,Jefferson Dr & 14th St SW,15th & L St NW,Customer
491700,2017-03-13 07:18:00,2017-03-13 07:23:00,332.17,Columbus Circle / Union Station,Washington & Independence Ave SW/HHS,Subscriber
1120780,2017-05-10 11:28:37,2017-05-10 11:42:34,837.459,1st & N St  SE,2nd St & Massachusetts Ave NE,Subscriber
343108,2017-02-22 17:59:00,2017-02-22 18:18:00,1103.953,19th & K St NW,Florida Ave & R St NW,Subscriber
1642615,2017-06-23 05:27:11,2017-06-23 05:43:47,995.528,11th & H St NE,10th St & Constitution Ave NW,Subscriber
850327,2017-04-16 10:10:29,2017-04-16 10:46:27,2158.279,20th & E St NW,Convention Center / 7th & M St NW,Customer
207611,2017-02-06 05:38:00,2017-02-06 05:40:00,122.556,Adams Mill & Columbia Rd NW,Calvert St & Woodley Pl NW,Subscriber
100594,2017-01-20 11:54:00,2017-01-20 12:12:00,1110.655,Lee Hwy & N Scott St,20th St & Virginia Ave NW,Customer
1038732,2017-05-03 04:10:41,2017-05-03 04:49:20,2319.499,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Lincoln Memorial,Customer
281829,2017-02-16 08:31:00,2017-02-16 08:36:00,293.763,Monroe Ave & Leslie Ave,Braddock Rd Metro,Subscriber
419766,2017-03-03 08:47:00,2017-03-03 08:54:00,379.69199999999995,7th & T St NW,10th & K St NW,Subscriber
1558410,2017-06-16 07:39:06,2017-06-16 07:44:27,321.129,Crystal City Metro / 18th & Bell St,26th & S Clark St,Subscriber
491834,2017-03-13 07:36:00,2017-03-13 07:46:00,643.071,5th & F St NW,17th & K St NW / Farragut Square,Subscriber
1329867,2017-05-29 12:53:11,2017-05-29 01:02:52,580.615,8th & East Capitol St NE,Potomac Ave & 8th St SE,Subscriber
1447636,2017-06-08 05:22:25,2017-06-08 05:28:01,335.62199999999996,14th & G St NW,14th & Rhode Island Ave NW,Subscriber
1645898,2017-06-23 07:55:17,2017-06-23 08:03:31,493.214,12th & L St NW,17th & G St NW,Subscriber
1123408,2017-05-11 07:09:31,2017-05-11 07:12:13,162.019,Takoma Metro,Philadelphia & Maple Ave,Subscriber
1239724,2017-05-21 08:54:45,2017-05-21 09:43:26,2921.14,Metro Center / 12th & G St NW,Jefferson Dr & 14th St SW,Customer
953245,2017-04-26 08:37:55,2017-04-26 08:48:07,612.001,1st & M St NE,4th & W St NE,Subscriber
1133279,2017-05-13 01:47:52,2017-05-13 01:54:16,384.227,22nd & I St NW / Foggy Bottom,17th & K St NW,Customer
1012148,2017-04-30 12:38:58,2017-04-30 01:38:00,3541.885,14th & D St NW / Ronald Reagan Building,14th & D St NW / Ronald Reagan Building,Customer
430679,2017-03-05 09:29:00,2017-03-05 09:36:00,424.892,US Dept of State / Virginia Ave & 21st St NW,25th St & Pennsylvania Ave NW,Subscriber
286347,2017-02-16 20:05:00,2017-02-16 20:23:00,1055.441,23rd & E St NW ,Adams Mill & Columbia Rd NW,Subscriber
291711,2017-02-17 16:59:00,2017-02-17 17:05:00,341.73800000000006,11th & F St NW,11th & O St NW,Subscriber
40756,2017-01-10 17:46:00,2017-01-10 18:20:00,1995.1670000000001,19th & L St NW,6th St & Indiana Ave NW,Subscriber
671616,2017-04-03 02:58:14,2017-04-03 03:33:35,2120.633,Jefferson Memorial,Jefferson Memorial,Customer
206913,2017-02-05 19:33:00,2017-02-05 19:40:00,410.954,14th & Belmont St NW,11th & O St NW,Subscriber
547915,2017-03-21 20:10:00,2017-03-21 20:19:00,546.726,5th St & Massachusetts Ave NW,2nd St & Massachusetts Ave NE,Subscriber
1698791,2017-06-27 05:59:53,2017-06-27 06:08:45,531.9119999999999,13th & H St NE,Constitution Ave & 2nd St NW/DOL,Subscriber
166796,2017-01-30 21:02:00,2017-01-30 21:05:00,173.83,Barcroft Community Center,N Randolph St & Fairfax Dr,Subscriber
1720591,2017-06-28 09:14:01,2017-06-28 09:35:51,1309.633,S Joyce & 16th St S,4th & E St SW,Subscriber
992758,2017-04-29 08:12:23,2017-04-29 08:36:30,1447.5620000000001,8th & O St NW,11th & H St NE,Customer
990551,2017-04-29 05:58:23,2017-04-29 06:22:26,1443.17,S Troy St & 26th St S,S Troy St & 26th St S,Customer
827765,2017-04-15 03:26:10,2017-04-15 04:42:35,4585.505,Prince St & Union St,Henry Bacon Dr & Lincoln Memorial Circle NW,Customer
1382791,2017-06-03 02:58:26,2017-06-03 03:30:11,1904.9470000000001,Long Bridge Park/Long Bridge Dr & 6th St S,Jefferson Memorial,Customer
338249,2017-02-22 08:45:00,2017-02-22 08:52:00,369.397,17th & K St NW,Metro Center / 12th & G St NW,Subscriber
1476052,2017-06-10 03:36:24,2017-06-10 03:55:58,1173.761,25th St & Pennsylvania Ave NW,17th St & Independence Ave SW,Customer
1098844,2017-05-09 05:10:11,2017-05-09 05:36:27,1575.771,Georgetown Harbor / 30th St NW,1st & K St SE,Subscriber
1255531,2017-05-23 05:11:19,2017-05-23 05:21:45,626.606,24th & N St NW,17th St & Massachusetts Ave NW,Subscriber
123119,2017-01-24 15:29:00,2017-01-24 15:37:00,443.032,2nd & G St NE,Union Market/6th St & Neal Pl NE,Subscriber
520887,2017-03-18 16:27:00,2017-03-18 19:10:00,9760.793,Washington & Independence Ave SW/HHS,14th & G St NW,Customer
971987,2017-04-28 03:14:20,2017-04-28 03:23:42,562.069,17th & K St NW / Farragut Square,20th & O St NW / Dupont South,Subscriber
322256,2017-02-20 14:26:00,2017-02-20 14:39:00,822.578,15th & P St NW,18th St & Wyoming Ave NW,Customer
1186038,2017-05-17 07:04:00,2017-05-17 07:16:28,748.056,3rd & Elm St NW,8th & F St NW,Subscriber
360213,2017-02-24 09:12:00,2017-02-24 09:25:00,776.895,4th & M St SW,3rd & H St NW,Subscriber
1219528,2017-05-20 01:42:50,2017-05-20 01:44:46,116.652,Potomac & Pennsylvania Ave SE,12th St & Pennsylvania Ave SE,Subscriber
1650298,2017-06-23 11:29:47,2017-06-23 12:07:53,2285.93,Lincoln Memorial,Washington & Independence Ave SW/HHS,Customer
1579380,2017-06-18 03:35:25,2017-06-18 03:46:45,679.8439999999999,Eckington Pl & Q St NE,8th & F St NW,Subscriber
696879,2017-04-05 04:39:50,2017-04-05 04:45:18,327.6,14th St & Colorado Ave NW,Georgia & Missouri Ave NW,Subscriber
599563,2017-03-27 09:00:00,2017-03-27 09:12:00,716.96,5th St & Massachusetts Ave NW,19th St & Pennsylvania Ave NW,Customer
379222,2017-02-26 09:17:00,2017-02-26 09:33:00,993.7689999999999,Potomac & Swann Ave,King St & Patrick St,Subscriber
1434939,2017-06-07 05:25:17,2017-06-07 05:29:16,239.138,11th & M St NW,8th & O St NW,Subscriber
860880,2017-04-17 07:58:24,2017-04-17 08:14:33,969.17,8th & H St NW,Columbia Rd & Georgia Ave NW,Subscriber
872340,2017-04-18 07:27:37,2017-04-18 07:39:03,685.9730000000001,15th & P St NW,14th & Irving St NW,Customer
1225664,2017-05-20 06:50:11,2017-05-20 07:18:34,1702.63,New York Ave & 15th St NW,18th & M St NW,Customer
118531,2017-01-23 18:19:00,2017-01-23 18:33:00,796.058,1st & M St NE,15th & P St NW,Subscriber
1640086,2017-06-23 02:40:45,2017-06-23 02:53:02,736.3510000000001,Lamont & Mt Pleasant NW,Park Rd & Holmead Pl NW,Subscriber
95080,2017-01-19 15:15:00,2017-01-19 15:20:00,281.255,21st St & Pennsylvania Ave NW,19th St & Constitution Ave NW,Customer
1303218,2017-05-27 09:38:55,2017-05-27 09:49:34,638.865,18th & R St NW,14th & D St NW / Ronald Reagan Building,Subscriber
966903,2017-04-27 08:55:04,2017-04-27 09:03:08,484.35900000000004,14th & G St NW,Rhode Island & Connecticut Ave NW,Subscriber
519313,2017-03-18 14:57:00,2017-03-18 15:03:00,331.12199999999996,6th St & Indiana Ave NW,12th & L St NW,Subscriber
1157516,2017-05-15 05:24:42,2017-05-15 05:45:08,1226.394,22nd St & Constitution Ave NW,4th & E St SW,Subscriber
1723705,2017-06-28 12:57:07,2017-06-28 01:06:27,560.201,Eastern Market / 7th & North Carolina Ave SE,13th & H St NE,Subscriber
258668,2017-02-12 19:15:00,2017-02-12 19:25:00,625.809,Calvert St & Woodley Pl NW,15th & P St NW,Subscriber
1432272,2017-06-07 02:14:25,2017-06-07 02:20:26,361.61300000000006,Columbia & Ontario Rd NW,Lamont & Mt Pleasant NW,Subscriber
1217402,2017-05-19 11:34:36,2017-05-19 11:44:55,618.727,17th St & Independence Ave SW,Lincoln Memorial,Customer
162204,2017-01-30 07:54:00,2017-01-30 08:05:00,657.3919999999999,Columbus Circle / Union Station,10th & E St NW,Customer
1332474,2017-05-30 04:58:55,2017-05-30 05:26:17,1642.734,Smithsonian-National Mall / Jefferson Dr & 12th St SW,21st & M St NW,Customer
1114398,2017-05-10 06:41:00,2017-05-10 06:59:17,1097.087,4th St & Madison Dr NW,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Customer
455398,2017-03-08 11:06:00,2017-03-08 12:57:00,6690.722,12th & L St NW,New York Ave & 15th St NW,Customer
1689266,2017-06-26 08:18:22,2017-06-26 08:23:12,289.99,11th & H St NE,Columbus Circle / Union Station,Subscriber
177027,2017-02-01 09:01:00,2017-02-01 09:12:00,691.795,Offutt Ln & Chevy Chase Dr,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,Subscriber
1250118,2017-05-22 08:13:46,2017-05-22 08:15:57,130.951,17th & Corcoran St NW,New Hampshire Ave & T St NW,Subscriber
270885,2017-02-14 17:46:00,2017-02-14 17:55:00,535.3580000000001,Columbus Circle / Union Station,13th & D St NE,Subscriber
1305637,2017-05-27 11:53:28,2017-05-27 12:43:44,3015.528,Massachusetts Ave & Dupont Circle NW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
475902,2017-03-10 06:47:00,2017-03-10 06:52:00,285.124,1st & K St SE,8th & Eye St SE / Barracks Row,Subscriber
1169374,2017-05-16 05:05:13,2017-05-16 05:15:51,637.456,18th & C St NW,L'Enfant Plaza / 7th & C St SW,Subscriber
1577559,2017-06-18 01:43:01,2017-06-18 01:48:07,305.723,7th & T St NW,Convention Center / 7th & M St NW,Subscriber
165358,2017-01-30 17:52:00,2017-01-30 17:56:00,242.52200000000002,19th St & Pennsylvania Ave NW,17th & K St NW / Farragut Square,Subscriber
1267742,2017-05-24 06:12:47,2017-05-24 06:20:13,445.945,14th & D St NW / Ronald Reagan Building,8th & F St NW,Subscriber
1504529,2017-06-12 06:37:18,2017-06-12 06:47:26,608.629,Connecticut Ave & Newark St NW / Cleveland Park,18th St & Wyoming Ave NW,Subscriber
1363881,2017-06-01 09:45:38,2017-06-01 09:49:18,220.28799999999998,14th & Irving St NW,14th & V St NW,Subscriber
651249,2017-04-01 05:38:29,2017-04-01 06:14:15,2146.04,Constitution Ave & 2nd St NW/DOL,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Subscriber
1266870,2017-05-24 05:42:57,2017-05-24 05:47:08,250.58700000000002,14th & V St NW,18th St & Wyoming Ave NW,Subscriber
187665,2017-02-02 16:39:00,2017-02-02 16:55:00,909.977,14th & D St NW / Ronald Reagan Building,21st St & Pennsylvania Ave NW,Customer
207480,2017-02-05 23:22:00,2017-02-05 23:25:00,182.329,Oklahoma Ave & D St NE,19th & East Capitol St SE,Subscriber
1291849,2017-05-26 09:01:49,2017-05-26 09:22:47,1257.528,20th & O St NW / Dupont South,Bladensburg Rd & Benning Rd NE,Subscriber
1307459,2017-05-28 01:35:49,2017-05-28 02:06:17,1828.9160000000002,5th & K St NW,M St & New Jersey Ave SE,Customer
1677435,2017-06-25 11:29:26,2017-06-25 11:42:50,804.425,Jefferson Memorial,1st & K St SE,Subscriber
1596366,2017-06-19 11:14:44,2017-06-19 11:20:10,326.024,15th & W St NW,10th & U St NW,Subscriber
1506884,2017-06-12 07:59:41,2017-06-12 08:05:34,352.45,4th & M St SW,Washington & Independence Ave SW/HHS,Subscriber
1322251,2017-05-29 05:17:31,2017-05-29 05:25:49,498.491,6th & H St NE,Lincoln Park / 13th & East Capitol St NE ,Subscriber
761835,2017-04-10 11:24:31,2017-04-10 11:31:45,433.838,17th & K St NW,20th & E St NW,Subscriber
1360110,2017-06-01 07:33:01,2017-06-01 07:38:42,341.055,North Capitol St & F St NW,4th & D St NW / Judiciary Square,Subscriber
770632,2017-04-11 07:04:40,2017-04-11 07:54:40,2999.7309999999998,East West Hwy & 16th St,East West Hwy & 16th St,Customer
1132196,2017-05-12 12:11:56,2017-05-12 12:20:24,507.847,7th & R St NW / Shaw Library,19th & L St NW,Subscriber
1702352,2017-06-27 07:49:33,2017-06-27 08:03:22,828.67,8th & H St NW,Eckington Pl & Q St NE,Subscriber
502963,2017-03-16 07:05:00,2017-03-16 07:09:00,236.725,Lincoln Park / 13th & East Capitol St NE ,14th & D St SE,Subscriber
1406592,2017-06-04 12:50:26,2017-06-04 01:31:20,2453.828,Jefferson Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
187651,2017-02-02 16:37:00,2017-02-02 16:56:00,1161.431,L'Enfant Plaza / 7th & C St SW,North Capitol St & G Pl NE,Subscriber
594363,2017-03-26 13:48:00,2017-03-26 14:10:00,1317.412,8th & H St NW,Washington & Independence Ave SW/HHS,Customer
629594,2017-03-29 18:28:00,2017-03-29 18:37:00,521.239,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Washington & Independence Ave SW/HHS,Subscriber
783129,2017-04-12 05:49:53,2017-04-12 06:02:36,762.6310000000001,19th St & Constitution Ave NW,Metro Center / 12th & G St NW,Subscriber
1310238,2017-05-28 05:49:26,2017-05-28 06:04:16,890.7760000000001,18th St & Pennsylvania Ave NW,20th & L St NW,Customer
1215069,2017-05-19 09:07:35,2017-05-19 09:25:52,1097.252,Lincoln Park / 13th & East Capitol St NE ,Lincoln Park / 13th & East Capitol St NE ,Subscriber
1441994,2017-06-07 09:25:10,2017-06-07 09:28:33,203.03599999999997,M St & Delaware Ave NE,2nd & G St NE,Subscriber
784158,2017-04-12 06:22:49,2017-04-12 06:25:54,185.24400000000003,18th & R St NW,California St & Florida Ave NW,Subscriber
945651,2017-04-26 03:25:04,2017-04-26 03:58:07,1982.795,Smithsonian-National Mall / Jefferson Dr & 12th St SW,4th St & Madison Dr NW,Customer
1486509,2017-06-10 12:23:43,2017-06-10 01:09:26,2742.455,Woodmont Ave & Strathmore St,34th & Water St NW,Customer
1312777,2017-05-28 09:07:43,2017-05-28 09:29:58,1334.7379999999998,5th & F St NW,Thomas Circle,Customer
1688359,2017-06-26 07:54:09,2017-06-26 08:13:19,1150.374,8th & Eye St SE / Barracks Row,17th & K St NW / Farragut Square,Subscriber
1650532,2017-06-23 11:47:33,2017-06-23 12:03:00,926.8789999999999,19th St & Constitution Ave NW,Jefferson Dr & 14th St SW,Customer
1744676,2017-06-30 07:23:37,2017-06-30 07:30:13,395.838,Wilson Blvd & N Edgewood St,Lee Hwy & N Adams St,Subscriber
1388974,2017-06-03 08:46:33,2017-06-03 09:39:00,3147.615,4th & M St SW,4th & M St SW,Customer
996663,2017-04-29 11:21:12,2017-04-29 11:41:45,1233.5910000000001,36th & Calvert St NW / Glover Park,Massachusetts Ave & Dupont Circle NW,Customer
